feature,feature_group,target,baseline_mae,permuted_mae,delta_mae,relative_delta
sphere_z,location,pressure_pa,497.37060546875,685.6665649414062,188.29595947265625,0.3785828060650982
sphere_z,location,wind_u,1.8371793031692505,2.4789249897003174,0.6417456865310669,0.34931031795536505
sphere_z,location,wind_v,1.7341810464859009,2.2190699577331543,0.4848889112472534,0.2796068566369236
altitude_x_sin_lat,altitude,temperature_k,1.1241883039474487,1.7742146253585815,0.6500263214111328,0.5782183635327334
altitude_x_sin_lat,altitude,pressure_pa,497.37060546875,914.6275024414062,417.25689697265625,0.8389255263274151
altitude_x_sin_lat,altitude,wind_u,1.8371793031692505,3.3685617446899414,1.531382441520691,0.8335508890607244
altitude_x_sin_lat,altitude,wind_v,1.7341810464859009,2.4437477588653564,0.7095667123794556,0.40916530244480703
altitude_x_cos_lat,altitude,temperature_k,1.1241883039474487,9.46459674835205,8.340408444404602,7.419049295494612
altitude_x_cos_lat,altitude,pressure_pa,497.37060546875,9559.6796875,9062.30908203125,18.22043559146488
altitude_x_cos_lat,altitude,wind_u,1.8371793031692505,4.784012317657471,2.94683301448822,1.6039985914302142
altitude_x_cos_lat,altitude,wind_v,1.7341810464859009,3.208482027053833,1.4743009805679321,0.8501424828482684
altitude_x_sin_lon,altitude,temperature_k,1.1241883039474487,1.46595299243927,0.3417646884918213,0.3040101798708959
altitude_x_sin_lon,altitude,pressure_pa,497.37060546875,736.1787719726562,238.80816650390625,0.48014129479734735
altitude_x_sin_lon,altitude,wind_u,1.8371793031692505,2.4747817516326904,0.6376024484634399,0.3470551009166799
altitude_x_sin_lon,altitude,wind_v,1.7341810464859009,2.3889944553375244,0.6548134088516235,0.37759229936143074
altitude_x_cos_lon,altitude,temperature_k,1.1241883039474487,1.4692628383636475,0.34507453441619873,0.3069543894065718
altitude_x_cos_lon,altitude,pressure_pa,497.37060546875,801.9461059570312,304.57550048828125,0.6123713326428533
altitude_x_cos_lon,altitude,wind_u,1.8371793031692505,2.456968307495117,0.6197890043258667,0.33735901730260703
altitude_x_cos_lon,altitude,wind_v,1.7341810464859009,2.3175065517425537,0.5833255052566528,0.33636943872653224
altitude_x_abs_lat_norm,altitude,temperature_k,1.1241883039474487,6.194997787475586,5.070809483528137,4.510640669114431
altitude_x_abs_lat_norm,altitude,pressure_pa,497.37060546875,6320.65869140625,5823.2880859375,11.708146846453273
