epoch,loss,pressure_pa_loss,pressure_pa_mae,pressure_pa_rmse,temperature_k_loss,temperature_k_mae,temperature_k_rmse,val_loss,val_pressure_pa_loss,val_pressure_pa_mae,val_pressure_pa_rmse,val_temperature_k_loss,val_temperature_k_mae,val_temperature_k_rmse,val_wind_u_loss,val_wind_u_mae,val_wind_u_rmse,val_wind_v_loss,val_wind_v_mae,val_wind_v_rmse,wind_u_loss,wind_u_mae,wind_u_rmse,wind_v_loss,wind_v_mae,wind_v_rmse
25,0.1261616051197052,0.0005610532243736088,0.025906935334205627,0.03349233791232109,0.002228067023679614,0.0507601760327816,0.06675796955823898,0.13886071741580963,0.0004649681504815817,0.023222537711262703,0.030437514185905457,0.0019366167252883315,0.047064509242773056,0.062158796936273575,0.022432800382375717,0.15656261146068573,0.2178005576133728,0.06941767781972885,0.29494452476501465,0.4245721697807312,0.020583052188158035,0.15010514855384827,0.20817866921424866,0.06260046362876892,0.2769351005554199,0.40060827136039734
26,0.12478768825531006,0.0005510755581781268,0.02565527707338333,0.033194154500961304,0.0021980698220431805,0.05039791762828827,0.06630726903676987,0.13632284104824066,0.00044513429747894406,0.022927241399884224,0.02978942170739174,0.0019166544079780579,0.04670564830303192,0.061843834817409515,0.02177509479224682,0.15408273041248322,0.21445319056510925,0.06839277595281601,0.2923966944217682,0.4201485514640808,0.020360229536890984,0.14927159249782562,0.20697452127933502,0.06191791966557503,0.27515116333961487,0.39803242683410645
27,0.12326976656913757,0.0005426541320048273,0.02544279582798481,0.03294112905859947,0.002172148087993264,0.05010891333222389,0.06591548025608063,0.13425321877002716,0.00043339168769307435,0.02271730825304985,0.02938941866159439,0.0018824338912963867,0.04639234393835068,0.06130211055278778,0.02126465179026127,0.15201008319854736,0.21181635558605194,0.06754039227962494,0.2901102304458618,0.41694697737693787,0.020145205780863762,0.14850138127803802,0.20578576624393463,0.06113201752305031,0.2730861306190491,0.3950077295303345
28,0.12179448455572128,0.0005340173374861479,0.025232000276446342,0.03267847001552582,0.0021477381233125925,0.04983408376574516,0.06554493308067322,0.13275045156478882,0.0003856439725495875,0.02124953083693981,0.027726685628294945,0.0017926745349541306,0.044855013489723206,0.05983016639947891,0.021009644493460655,0.1510004848241806,0.210471510887146,0.06682787090539932,0.28831133246421814,0.414279580116272,0.019872315227985382,0.14743636548519135,0.20430007576942444,0.06043139845132828,0.2712080478668213,0.392389714717865
29,0.12033524364233017,0.0005263715866021812,0.02501305751502514,0.03244493156671524,0.002121303929015994,0.04951651766896248,0.06513994187116623,0.1335098147392273,0.0003522644401527941,0.020208878442645073,0.0265071839094162,0.001753682387061417,0.044305067509412766,0.059186361730098724,0.020997773855924606,0.15095004439353943,0.21040575206279755,0.06736578792333603,0.28968244791030884,0.41651734709739685,0.019639650359749794,0.14657838642597198,0.20301389694213867,0.05970054119825363,0.269300639629364,0.389527291059494
30,0.11888144910335541,0.000519506458658725,0.024837428703904152,0.03223252668976784,0.002097821095958352,0.049247171729803085,0.06477842479944229,0.13339683413505554,0.0003572885470930487,0.02028512954711914,0.02670740894973278,0.001756839221343398,0.0442359633743763,0.05923940986394882,0.020980069413781166,0.15085193514823914,0.21031711995601654,0.06731362640857697,0.28938648104667664,0.4168223738670349,0.019420715048909187,0.14576983451843262,0.2017911821603775,0.05895756185054779,0.26735997200012207,0.3865906000137329
31,0.11758541315793991,0.0005128808552399278,0.02466094121336937,0.032025836408138275,0.0020776421297341585,0.04899059236049652,0.06446576118469238,0.1330813318490982,0.00034401376615278423,0.01995033398270607,0.026203591376543045,0.0017525264993309975,0.04436948895454407,0.05917449668049812,0.020878281444311142,0.15052683651447296,0.20970575511455536,0.06719633936882019,0.2889651358127594,0.41677412390708923,0.019193965941667557,0.14491397142410278,0.20053447782993317,0.058328378945589066,0.26569855213165283,0.3841148614883423
32,0.11629104614257812,0.0005066164885647595,0.02449445053935051,0.03182936832308769,0.0020512251649051905,0.048678986728191376,0.06405483186244965,0.1336149126291275,0.0003412060614209622,0.01994551159441471,0.026097862049937248,0.001748636132106185,0.044315144419670105,0.059106942266225815,0.020820794627070427,0.15038201212882996,0.20942796766757965,0.06759993731975555,0.2900128960609436,0.4186243712902069,0.018995897844433784,0.14416326582431793,0.199442058801651,0.05767298489809036,0.26393550634384155,0.38157087564468384
33,0.11539353430271149,0.0005014555645175278,0.02436763606965542,0.03166670724749565,0.002037634141743183,0.04851299151778221,0.06384158879518509,0.13347409665584564,0.0003674880135804415,0.020639413967728615,0.02708522416651249,0.0017487850273028016,0.04412095993757248,0.059105053544044495,0.020725972950458527,0.14995355904102325,0.20891469717025757,0.06759978085756302,0.28988009691238403,0.4192883372306824,0.018836814910173416,0.14358441531658173,0.198531836271286,0.05723947286605835,0.2627708613872528,0.3798425793647766
34,0.11422081291675568,0.0004988653236068785,0.02428281307220459,0.03158409520983696,0.0020198242273181677,0.048303622752428055,0.06356197595596313,0.1342468559741974,0.00037555964081548154,0.02096695639193058,0.02738674357533455,0.001767407520674169,0.04448933154344559,0.05942539870738983,0.02083163894712925,0.15042513608932495,0.20945195853710175,0.06798337399959564,0.2907162308692932,0.4215009808540344,0.018680298700928688,0.14298737049102783,0.1976490169763565,0.05662049725651741,0.2611226737499237,0.3773309588432312
